JAN,SHOSINM,KANSU,SAKUHINNM,DAIGENRENM,CHUGENRENM,SHOGENRENM,SIKIRIBANNM,SHPNSHANM,CHOSHANM,SOSHONM
9784092313293,名探偵コナン　緋色の弾丸,,名探偵コナン　緋色の弾丸,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,水稀しま,小学館ジュニア文庫
9784092313460,小説　ＳＴＡＮＤ　ＢＹ　ＭＥ　ドラえもん,２,小説　ＳＴＡＮＤ　ＢＹ　ＭＥ　ドラえもん,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,藤子・Ｆ・不二雄,小学館ジュニア文庫
9784092314115,名探偵コナン　ハロウィンの花嫁,,名探偵コナン　ハロウィンの花嫁,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,水稀しま,小学館ジュニア文庫
9784092313200,小説　映画ドラえもん　のび太の新恐竜,,小説　映画ドラえもん　のび太の新恐竜,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,藤子・Ｆ・不二雄,小学館ジュニア文庫
9784092313408,今日から俺は！！＜劇場版＞,,今日から俺は！！＜劇場版＞,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,江橋よしのり,小学館ジュニア文庫
9784092313453,小説　ＳＴＡＮＤ　ＢＹ　ＭＥ　ドラえもん,,小説　ＳＴＡＮＤ　ＢＹ　ＭＥ　ドラえもん,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,藤子・Ｆ・不二雄,小学館ジュニア文庫
9784092313576,小説　映画ドラえもん　のび太の宇宙小戦争　２０２１,,小説　映画ドラえもん　のび太の宇宙小戦争　２０２１,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,藤子・Ｆ・不二雄,小学館ジュニア文庫
9784092313514,劇場版ポケットモンスターココ,,劇場版ポケットモンスターココ,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,水稀しま,小学館ジュニア文庫
9784092312739,名探偵コナン　紅の修学旅行,,名探偵コナン　紅の修学旅行,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,水稀しま,小学館ジュニア文庫
9784092312883,名探偵コナン　紺青の拳－フィスト－,,名探偵コナン　紺青の拳－フィスト－,児童書,児童文庫,児童文庫,小学館ジュニア文庫,小学館,水稀しま,小学館ジュニア文庫
